,,,,,,,Brewing,,,,Specific Gravity,,,,,,
Beer Creator,Beer Recipe,Letter,Beer Type,Our Beer Name,Original Volume (Gallons),Final Volume (Gallons),Brew,Bottle/Keg,Open,Boil,Original Gravity,OG,Final Gravity,FG,ABV,Notes,Links
Brooklyn Brew Shop,Bourbon Dubbel,,Belgian Dubbel,xxx,,1,2011,,,,,,,,,First Beer Kit (1 Gallon),
Brooklyn Brew Shop,A Well Made Trippel,,Belgian Trippel,The Trouble With Trippels,,1,2012,,,,,,,,,First Beer with Megan.  First custom labels.,
White House,White House Honey Porter,P,Porter,gObama Porter,,5,,9/24/2012,10/10/2012,,,,,,,"First Real Brew with big kit.  Brewed for 2012 election, not quite as carbonated. -- 11/16/13 sickly sweet, not carbonated, honey",
Oak Barrel Winecraft,American Amber Ale,A,Amber,Dinosaurs N' Amber,,5,10/28/2012,11/14/2012,11/30/2012,,,,,,,"Brewed for Megan's Birthday, seemed to go perfectly -- 11/16/13 little carbonated, brown sugar, sour, metallic after taste",
Oak Barrel Winecraft,Black Death Stout,S,Stout,,,5,11/18/2012,12/3/2012,12/16/2012?,,,1022.5,"3%potential ABV,
1022.5",1022.5,0.00%,"Brewed for Holidays, Killed some of yeast, added more in -- 11/16/13 dirty socks, dimethyl sulfide or DMS, poured out",
Brewing Classic Styles,Extra Lying Stout,F,Foriegn Extra Stout,,,5,12/30/2012,1/10/2013,1/23/2013,,"7.2% potential ABV,
15balling,
1056.0",1056,"2% potential ABV,
5balling,
1016.0",1016,5.23%,"First 7gallon boil.  Didn't have 2.4oz of E. Kent Goldings (only 2.0oz) so had to add in 0.4oz Hallertauer.  First time sanitizing lid.  First time sanitizing bottle caps and capper. -- 11/16/13 semi carbonated, chocolate, roasty chocolate, like i remembered",
Brewing Classic Styles,Trigo Oscuro,D,Dunkleweizen,Drunkleweizen,,5,1/13/2013,1/23/2013,2/2/2013,,"6% potential ABV,
12balling,
1046.0
at 75F",1046,"2% potential ABV,
3.5balling,
1014.0
at 68F",1014,4.19%,"Traded out Hallertauer Hops for Hersbrucker Hops.  Also, ended up having a mix of Wheat and Munich LME for the second 2.2lbs instead of only Munich.  However, the Munich was on top so it should be mostly Munich. -- 11/16/13 banana, maybe a little sour, candy sweet, diacetyl",
DOZE Club,Rye Session Ale,R,Session,Table Top Session Ale,,5,3/3/2013,3/13/2013,3/23/2013,,"3.5% potential ABV,
7balling,
1028.0
at 75F",1028,"1% potential ABV,
3balling,
1010.0
at 75F",1010,2.37%,"Tried to mash in with BIAB the rye and wheat.  Supposed to be a light beer but our method may have been tough. -- 11/16/13 well carbonated, DMS",
Homebrewing.org,American Honey Wheat,H,Wheat,,,5,6/2/2013,6/12/2013,6/22/2013,,"7.5% potential ABV,
14.5balling,
1058.0
at 75F",1058,"2 potential ABV, 3.5balling, 1013",1013,5.90%,"Added in honey after boiling hops at 200degF
http://www.homebrewing.org/How-to-Make-Wheat-Beer_ep_36-1.html -- 11/16/13 well carbonated, sweet, metallic, not as good as warm conditioned",
